training episode 1 of 100 complete,  explore val = 0.01, episode reward = 13.0
training episode 2 of 100 complete,  explore val = 0.01, episode reward = 10.0
training episode 3 of 100 complete,  explore val = 0.01, episode reward = 11.0
training episode 4 of 100 complete,  explore val = 0.01, episode reward = 22.0
training episode 5 of 100 complete,  explore val = 0.01, episode reward = 63.0
training episode 6 of 100 complete,  explore val = 0.01, episode reward = 11.0
training episode 7 of 100 complete,  explore val = 0.01, episode reward = 39.0
training episode 8 of 100 complete,  explore val = 0.01, episode reward = 9.0
training episode 9 of 100 complete,  explore val = 0.01, episode reward = 15.0
training episode 10 of 100 complete,  explore val = 0.01, episode reward = 21.0
training episode 11 of 100 complete,  explore val = 0.01, episode reward = 48.0
training episode 12 of 100 complete,  explore val = 0.01, episode reward = 12.0
training episode 13 of 100 complete,  explore val = 0.01, episode reward = 34.0
training episode 14 of 100 complete,  explore val = 0.01, episode reward = 19.0
training episode 15 of 100 complete,  explore val = 0.01, episode reward = 14.0
training episode 16 of 100 complete,  explore val = 0.01, episode reward = 12.0
training episode 17 of 100 complete,  explore val = 0.01, episode reward = 17.0
training episode 18 of 100 complete,  explore val = 0.01, episode reward = 19.0
training episode 19 of 100 complete,  explore val = 0.01, episode reward = 21.0
training episode 20 of 100 complete,  explore val = 0.01, episode reward = 24.0
training episode 21 of 100 complete,  explore val = 0.01, episode reward = 16.0
training episode 22 of 100 complete,  explore val = 0.01, episode reward = 12.0
training episode 23 of 100 complete,  explore val = 0.01, episode reward = 35.0
training episode 24 of 100 complete,  explore val = 0.01, episode reward = 27.0
training episode 25 of 100 complete,  explore val = 0.01, episode reward = 25.0
training episode 26 of 100 complete,  explore val = 0.01, episode reward = 17.0
training episode 27 of 100 complete,  explore val = 0.01, episode reward = 15.0
training episode 28 of 100 complete,  explore val = 0.01, episode reward = 47.0
training episode 29 of 100 complete,  explore val = 0.01, episode reward = 49.0
training episode 30 of 100 complete,  explore val = 0.01, episode reward = 40.0
training episode 31 of 100 complete,  explore val = 0.01, episode reward = 19.0
training episode 32 of 100 complete,  explore val = 0.01, episode reward = 18.0
training episode 33 of 100 complete,  explore val = 0.01, episode reward = 24.0
training episode 34 of 100 complete,  explore val = 0.01, episode reward = 29.0
training episode 35 of 100 complete,  explore val = 0.01, episode reward = 23.0
training episode 36 of 100 complete,  explore val = 0.01, episode reward = 15.0
training episode 37 of 100 complete,  explore val = 0.01, episode reward = 10.0
training episode 38 of 100 complete,  explore val = 0.01, episode reward = 18.0
training episode 39 of 100 complete,  explore val = 0.01, episode reward = 15.0
training episode 40 of 100 complete,  explore val = 0.01, episode reward = 42.0
training episode 41 of 100 complete,  explore val = 0.01, episode reward = 27.0
training episode 42 of 100 complete,  explore val = 0.01, episode reward = 11.0
training episode 43 of 100 complete,  explore val = 0.01, episode reward = 30.0
training episode 44 of 100 complete,  explore val = 0.01, episode reward = 91.0
